DISTRICT_CODE,DISTRICT_KOR_NAME,SGG,CITY_CODE,CLUSTER_ID,DISTANCE_TO_CENTROID,K_VALUE
11140101,무교동,중구,11140,2,4.6649,5
11140102,다동,중구,11140,2,3.8818,5
11140103,태평로1가,중구,11140,2,6.1571,5
11140104,을지로1가,중구,11140,2,7.0446,5
11140105,을지로2가,중구,11140,2,5.8027,5
11140106,남대문로1가,중구,11140,2,9.1858,5
11140107,삼각동,중구,11140,2,5.7012,5
11140108,수하동,중구,11140,1,7.0531,5
11140109,장교동,중구,11140,1,6.8701,5
11140110,수표동,중구,11140,2,7.433,5
11140111,소공동,중구,11140,2,7.5818,5
11140112,남창동,중구,11140,0,4.6773,5
11140113,북창동,중구,11140,0,4.1266,5
11140114,태평로2가,중구,11140,2,4.2789,5
11140115,남대문로2가,중구,11140,2,8.8756,5
11140116,남대문로3가,중구,11140,2,6.6563,5
11140117,남대문로4가,중구,11140,2,8.3355,5
11140118,남대문로5가,중구,11140,2,6.4615,5
11140119,봉래동1가,중구,11140,2,4.7003,5
11140120,봉래동2가,중구,11140,2,6.3217,5
11140121,회현동1가,중구,11140,4,4.8724,5
11140122,회현동2가,중구,11140,1,10.6872,5
11140123,회현동3가,중구,11140,0,6.33,5
11140124,충무로1가,중구,11140,2,5.0243,5
11140125,충무로2가,중구,11140,0,4.0729,5
11140126,명동1가,중구,11140,2,4.6743,5
11140127,명동2가,중구,11140,0,5.263,5
11140128,남산동1가,중구,11140,0,7.5376,5
11140129,남산동2가,중구,11140,0,3.1415,5
11140130,남산동3가,중구,11140,0,4.6045,5
11140131,저동1가,중구,11140,1,4.5871,5
11140132,충무로4가,중구,11140,4,4.3941,5
11140133,충무로5가,중구,11140,0,3.5909,5
11140134,인현동2가,중구,11140,0,4.6961,5
11140135,예관동,중구,11140,2,3.9362,5
11140136,묵정동,중구,11140,0,3.9847,5
11140137,필동1가,중구,11140,0,3.4174,5
11140138,필동2가,중구,11140,0,2.2234,5
11140139,필동3가,중구,11140,0,3.6951,5
11140140,남학동,중구,11140,2,5.9936,5
11140141,주자동,중구,11140,2,7.7308,5
11140142,예장동,중구,11140,0,3.2681,5
11140143,장충동1가,중구,11140,4,4.4534,5
11140144,장충동2가,중구,11140,0,3.5648,5
11140145,광희동1가,중구,11140,0,4.0583,5
11140146,광희동2가,중구,11140,0,3.487,5
11140147,쌍림동,중구,11140,0,2.7382,5
11140148,을지로6가,중구,11140,0,3.1671,5
11140149,을지로7가,중구,11140,0,6.2953,5
11140150,을지로4가,중구,11140,1,5.5795,5
11140151,을지로5가,중구,11140,0,4.3937,5
11140152,주교동,중구,11140,0,5.3038,5
11140153,방산동,중구,11140,2,5.2779,5
11140154,오장동,중구,11140,0,6.554,5
11140155,을지로3가,중구,11140,0,4.9313,5
11140156,입정동,중구,11140,1,7.1106,5
11140157,산림동,중구,11140,1,5.5396,5
11140158,충무로3가,중구,11140,0,3.6348,5
11140159,초동,중구,11140,0,5.9916,5
11140160,인현동1가,중구,11140,2,4.6821,5
11140161,저동2가,중구,11140,1,7.3444,5
11140162,신당동,중구,11140,4,4.3056,5
11140163,흥인동,중구,11140,4,4.4799,5
11140164,무학동,중구,11140,0,3.2969,5
11140165,황학동,중구,11140,4,4.315,5
11140166,서소문동,중구,11140,2,5.0645,5
11140167,정동,중구,11140,0,5.6417,5
11140168,순화동,중구,11140,1,6.0717,5
11140169,의주로1가,중구,11140,1,6.3824,5
11140170,충정로1가,중구,11140,1,9.4107,5
11140171,중림동,중구,11140,4,4.7276,5
11140172,의주로2가,중구,11140,2,5.689,5
11140173,만리동1가,중구,11140,4,5.6931,5
11140174,만리동2가,중구,11140,3,5.0086,5
11560101,영등포동,영등포구,11560,4,5.4334,5
11560102,영등포동1가,영등포구,11560,4,6.839,5
11560103,영등포동2가,영등포구,11560,4,5.1229,5
11560104,영등포동3가,영등포구,11560,0,5.5116,5
11560105,영등포동4가,영등포구,11560,0,5.3912,5
11560106,영등포동5가,영등포구,11560,4,5.6243,5
11560107,영등포동6가,영등포구,11560,4,3.744,5
11560108,영등포동7가,영등포구,11560,3,10.3299,5
11560109,영등포동8가,영등포구,11560,4,4.0958,5
11560110,여의도동,영등포구,11560,3,8.9264,5
11560111,당산동1가,영등포구,11560,4,5.2479,5
11560112,당산동2가,영등포구,11560,4,4.7889,5
11560113,당산동3가,영등포구,11560,4,2.8436,5
11560114,당산동4가,영등포구,11560,3,4.5101,5
11560115,당산동5가,영등포구,11560,3,5.2376,5
11560116,당산동6가,영등포구,11560,4,4.8861,5
11560117,당산동,영등포구,11560,4,5.2155,5
11560118,도림동,영등포구,11560,4,8.8615,5
11560119,문래동1가,영등포구,11560,0,4.9114,5
11560120,문래동2가,영등포구,11560,4,5.5748,5
11560121,문래동3가,영등포구,11560,3,5.3206,5
11560122,문래동4가,영등포구,11560,4,3.4702,5
11560123,문래동5가,영등포구,11560,3,10.0345,5
11560124,문래동6가,영등포구,11560,3,6.4542,5
11560125,양평동1가,영등포구,11560,4,3.9581,5
11560126,양평동2가,영등포구,11560,4,2.9993,5
11560127,양평동3가,영등포구,11560,4,5.2369,5
11560128,양평동4가,영등포구,11560,4,2.259,5
11560129,양평동5가,영등포구,11560,4,8.4817,5
11560130,양평동6가,영등포구,11560,4,6.3492,5
11560131,양화동,영등포구,11560,4,9.081,5
11560132,신길동,영등포구,11560,4,5.4272,5
11560133,대림동,영등포구,11560,4,8.7996,5
11560134,양평동,영등포구,11560,4,7.3594,5
11650101,방배동,서초구,11650,3,4.8498,5
11650102,양재동,서초구,11650,3,6.8551,5
11650103,우면동,서초구,11650,3,7.0634,5
11650104,원지동,서초구,11650,0,7.7241,5
11650106,잠원동,서초구,11650,3,9.059,5
11650107,반포동,서초구,11650,3,9.9442,5
11650108,서초동,서초구,11650,3,6.7098,5
11650109,내곡동,서초구,11650,3,6.2946,5
11650110,염곡동,서초구,11650,3,6.2547,5
11650111,신원동,서초구,11650,3,4.8067,5
