DISTRICT_CODE,DISTRICT_KOR_NAME,SGG,CITY_CODE,AGE_UNDER20_PCT_W,AVG_ASSET_LN_W,EXECUTIVE_PCT_W,HIGH_CREDIT_PCT_W,MEME_MOM_AVG_CBRT_W,RESIDENT_RATIO_W,TOTAL_POP_LN_W,VISITOR_RATIO_W,WORKER_RATIO_W,AGE_50S_PCT_W,CASH_ADVANCE_PCT_W,INSTALLMENT_PCT_W,PREMIUM_40PY_RATIO_W,SALES_PER_CAPITA_MONTHLY_LN_W,AGE_20S_PCT_W,AGE_30S_PCT_W,AGE_40S_PCT_W,AGE_60S_PCT_W,AGE_OVER70_PCT_W,AVG_INCOME_LN_W,COFFEE_PCT_W,CREDIT_CARD_INTENSITY_W,DELINQUENT_AMT_CBRT_W,EARLY_MORNING_RATIO_W,ECOMMERCE_PCT_W,FOOD_PCT_W,HIGH_INCOME_PCT_W,JEONSE_PRICE_LN_W,LUNCH_TIME_RATIO_W,MALE_RATIO_W,MEDICAL_PCT_W,MEME_DECLINE_PCT_W,MEME_PRICE_LN_W,MEME_YOY_AVG_LN_W,MORTGAGE_BURDEN_W,MULTI_HOUSING_RATIO_W,NEW_CREDIT_PCT_W,PRICE_RATIO_W,PRICE_VOLATILITY_LN_W,RUSH_HOUR_RATIO_W,SALES_MONTHLY_AVG_LN_W,SEG_ADULT_CHILD_PCT_W,SEG_INFANT_PCT_W,SEG_NEWLYWED_PCT_W,SEG_SENIOR_PCT_W,SEG_SINGLE_PCT_W,SEG_TEEN_PCT_W,TOTAL_HOUSEHOLDS_LN_W,AGE_DATA_RELIABLE_W,HAS_ECOMMERCE_W,HAS_RICHGO_APT_W,IS_GHOST_ECONOMY_W,LOW_RESIDENT_FLAG_W,SPH_LOW_QUALITY_W,WORKER_DOMINANT_W
11140101,무교동,중구,11140,-1.357372063,-0.4245968536,-0.7989616426,-2.125095849,-0.1943864218,-1.618400736,-1.592267322,0.7813477959,1.884382458,1.521243413,-0.2619640345,1.127888942,0.08361140944,1.105035641,-1.337835574,-1.583163341,-1.855207762,0.7726607188,1.327316097,-0.8977655079,-0.1528711678,-1.263715602,-0.09320683805,-0.4371404482,-0.2770004093,1.922868249,-0.5149860543,0.0005162408522,-1.352958492,0.5955393442,-0.2268219124,0.07785304006,-0.1406885044,-0.3242717576,-0.2930116213,1.632036658,-1.620842469,0.3423216893,-0.3940099771,-1.258135083,0.2394537429,-0.5154267812,0.02902459849,0.4726790137,-0.8481244867,0.2743248774,0.5716830204,0.3100886409,1,0,0,1,1,0,0
11140102,다동,중구,11140,-1.357372063,-0.2143850865,-0.5167098534,-1.381940763,-0.1943864218,-1.731309092,-0.9352527934,0.4234682868,2.378216944,0.2183155579,0.1951203909,-0.3849091425,-0.04659667856,0.9510951271,0.5058536979,-0.7457355694,-0.4495479644,0.7272936855,0.3579405617,-0.3404272884,-0.096576268,-0.9624973636,0.2104000521,0.01758838151,-0.0570419563,0.7429403389,-0.189525521,0.0005162408522,-1.064661178,0.7043307535,-0.3396922223,0.07785304006,-0.1406885044,-0.3242717576,-0.5283334885,1.632036658,-0.9546351592,0.3423216893,-0.3940099771,-0.6322033281,0.7587351322,-0.748603881,-0.0892070065,-0.3966495963,-0.8567458284,1.04608989,-0.405214637,0.3100886409,1,1,0,1,0,0,1
11140103,태평로1가,중구,11140,-1.357372063,-0.2145905351,-0.08392377655,-1.600173462,-0.1943864218,-1.367656205,-1.828984495,0.9165467216,1.367253893,0.6953510099,2.205923246,-0.5014843714,-0.3594707893,1.663423881,-1.337835574,-1.583163341,-1.855207762,2.797974706,0.534306006,-0.1596336382,-0.2006687243,-0.6503257346,0.1460602411,-0.332203026,-0.2736677055,-0.6312676886,0.05579157775,0.0005162408522,1.953531048,-0.1054362313,-0.3617755438,0.07785304006,-0.1406885044,-0.3242717576,-0.2659496065,1.632036658,1.100685264,0.3423216893,-0.3940099771,0.0886350464,1.146315154,1.289752599,-0.5201802763,-0.7965407569,-0.1454851407,-2.025398608,3.110164294,0.3100886409,1,1,0,1,1,0,0
11140104,을지로1가,중구,11140,-1.357372063,-0.2268511567,-1.162752838,-1.986008875,-0.1943864218,-1.588340719,-2.19799891,1.04246729,1.607182912,5.650705428,0.08269236689,-0.699796255,0.02334723442,1.551588411,-1.337835574,-1.583163341,-1.855207762,-1.252653268,-1.051714177,-0.943095641,-0.1857983734,-1.287447948,-1.189729998,0.1560474803,-0.2770004093,-0.2629989335,-0.4250690301,0.0005162408522,0.2632923753,2.698466071,-0.3053403888,0.07785304006,-0.1406885044,-0.3242717576,-0.6295218914,1.437327125,-1.436572362,0.3423216893,-0.3940099771,0.6219198627,0.2008942432,-0.6359016161,0.01758283027,0.9768896076,-0.9537359222,0.2762713213,0.6697359452,0.3100886409,1,0,0,1,1,0,0
11140105,을지로2가,중구,11140,-1.357372063,-0.0537075314,-0.1090128245,-1.466324073,-0.1943864218,-1.627931961,-0.9352527934,0.0178715097,2.5703931,0.3649940487,-0.07765579847,-0.07940164617,-0.0287984507,1.726113172,0.9662575431,-0.5366141236,-0.09852830731,0.9079516932,-0.4877253997,-0.2844242229,-0.298388173,-0.7625979871,0.2223294928,0.5699673125,-0.2592259889,-1.360033994,0.06947460317,0.0005162408522,1.218755595,1.327918625,-0.3715903533,0.07785304006,-0.1406885044,-0.3242717576,-0.4071427269,1.632036658,-1.535794727,0.3423216893,-0.3940099771,0.3846533131,2.499240378,0.8778063898,1.238038108,-1.005179623,-0.2015238615,-1.734405243,2.209530022,0.3100886409,1,1,0,1,0,0,1
11140106,남대문로1가,중구,11140,-1.357372063,-0.689103426,-1.589266652,-1.113660031,-0.1943864218,-2.034841944,-2.477147539,0.7163992924,2.603004811,-0.9564337961,-0.9678645785,-2.238053298,0.1213050641,-1.12835206,-1.337835574,-1.583163341,-1.855207762,-1.252653268,-1.051714177,0.003954811415,1.152533207,-0.5809542615,-2.163521147,-0.1121259321,-0.2770004093,2.057137397,-0.8863824587,0.0005162408522,-1.890007911,-2.909338533,-0.3740440557,0.07785304006,-0.1406885044,-0.3242717576,2.36377226,-1.607722636,-1.946858812,0.3423216893,-0.3940099771,-0.5271281419,-0.9521046744,-1.82121854,0.2006511219,2.306962381,-1.492569777,1.605692515,-0.6122152558,0.3100886409,0,0,0,1,1,1,1
11140107,삼각동,중구,11140,-1.357372063,-0.2330584533,-1.589266652,-1.682810911,-0.1943864218,-1.548016306,-1.755558801,0.7097718941,1.835464891,-0.9564337961,0.1232401788,-1.535922034,-0.6598549156,0.7150990308,-1.337835574,-1.583163341,-1.855207762,1.987849111,2.754734262,-0.9553553845,1.885429073,-1.148705002,-0.3382578572,0.0904615914,-0.2770004093,0.724807528,-0.1142688811,0.0005162408522,-1.479248023,0.4553442291,0.1068816125,0.07785304006,-0.1406885044,-0.3242717576,-0.6518774688,-1.391630691,-1.068032148,0.3423216893,-0.3940099771,0.3270314367,-0.8717184765,-0.6397879011,1.35245579,0.9073433188,-1.171424799,-0.2599739773,1.23807975,0.3100886409,1,0,0,1,1,0,0
11140108,수하동,중구,11140,-1.357372063,0.3941199327,1.534319815,0.2265797216,-0.1943864218,-2.150682985,-2.477147539,-0.3625411537,3.735097076,-0.9564337961,-0.0481664807,-0.008384552719,-0.09780561484,-1.12835206,-1.337835574,-1.583163341,-1.855207762,-1.252653268,-1.051714177,2.454405218,0.749971565,0.9411106255,-0.972576607,-0.3088835988,-0.2770004093,2.099015556,2.459117258,0.0005162408522,-1.859392267,-2.909338533,-0.2489052339,0.07785304006,-0.1406885044,-0.3242717576,1.110683317,1.632036658,1.114859887,0.3423216893,-0.3940099771,-0.9643764976,0.0979839047,-1.236332648,0.803250915,1.220301618,-1.220997514,0.442692276,0.7205782024,0.3100886409,0,0,0,1,1,0,1
11140109,장교동,중구,11140,-1.357372063,0.8274977575,1.220706716,0.05839505449,-0.1943864218,-1.825154998,-2.03470743,-0.1491389279,3.03045117,2.347135816,1.977381033,0.8612398558,-0.09218512184,1.087010382,-1.337835574,-1.583163341,-1.855207762,-1.252653268,2.120326189,1.027169525,-0.02116234561,0.8229052865,-0.8794757793,-0.2709895297,-0.2770004093,-0.9196657289,0.9100033079,0.0005162408522,0.2811515009,-0.1054362313,-0.2832570673,0.07785304006,-0.1406885044,-0.3242717576,0.2670544228,1.632036658,0.7604942971,0.3423216893,-0.3940099771,1.531441636,-0.4953021876,-0.1637179891,2.263983325,0.4292125832,-0.1584171532,-0.5246903498,0.09776055097,0.3100886409,1,0,0,1,1,0,1
11140110,수표동,중구,11140,-1.357372063,0.05265294558,-0.7550558087,0.7427728003,-0.1943864218,-1.490095786,-2.19799891,1.233336361,1.283395207,-0.9564337961,-0.5402694709,-0.4130479909,-0.5705515267,1.368911855,-1.337835574,-1.583163341,-1.855207762,-1.252653268,5.292366554,1.249727801,0.02663521083,1.098565614,-0.3337621212,-0.1441901445,-0.2770004093,0.4459076267,1.18952797,0.0005162408522,-0.135986647,2.698466071,0.462668459,0.07785304006,-0.1406885044,-0.3242717576,2.023732162,1.632036658,0.3777794597,0.3423216893,-0.3940099771,-0.5361668676,-0.2093452099,-0.5678916287,0.2311625038,0.9595030354,-0.3351546574,0.3940311781,-0.2327141212,0.3100886409,1,0,0,1,1,0,0
