ORDER,FEATURE_NAME
1,TIME_INDEX
2,SEASON_SIN
3,SEASON_COS
4,PHASE_BOOM
5,PHASE_CORRECTION
6,PHASE_PRE_BOOM
7,MALE_RATIO
8,AGE_UNDER20_PCT
9,AGE_20S_PCT
10,AGE_30S_PCT
11,AGE_40S_PCT
12,FERTILITY_CBRT
13,EXECUTIVE_PCT
14,PREMIUM_40PY_RATIO
15,MULTI_HOUSING_RATIO
16,HIGH_CREDIT_PCT
17,MORTGAGE_BURDEN
18,CREDIT_CARD_INTENSITY
19,NEW_CREDIT_PCT
20,INSTALLMENT_PCT
21,SEG_SINGLE_PCT
22,SEG_NEWLYWED_PCT
23,SEG_INFANT_PCT
24,SEG_TEEN_PCT
25,SEG_ADULT_CHILD_PCT
26,SEG_SENIOR_PCT
27,RESIDENT_RATIO
28,WORKER_RATIO
29,VISITOR_RATIO
30,FOOD_PCT
31,RUSH_HOUR_RATIO
32,LUNCH_TIME_RATIO
33,SALES_PER_CAPITA_MONTHLY_LN
34,DELINQUENT_AMT_CBRT
35,SALES_MONTHLY_AVG_LN
36,TOTAL_POP_LN
37,TOTAL_HOUSEHOLDS_LN
38,AVG_INCOME_LN
39,AVG_ASSET_LN
40,COFFEE_PCT_LN
41,MEDICAL_PCT_LN
42,EARLY_MORNING_RATIO_LN
43,AGE_50S_PCT_LN
44,ECOMMERCE_PCT_LN
45,HIGH_INCOME_PCT_LN
46,CASH_ADVANCE_PCT_LN
47,AGE_60S_PCT_LN
48,AGE_OVER70_PCT_LN
49,SGG_SEOCHO
50,SGG_YEONGDEUNGPO
51,SGG_JUNG
