ORDER,FEATURE_NAME,ROLE,CATEGORY,DATA_TYPE,FEATURE_TYPE,TRANSFORMATION,SOURCE,TRAIN_MIN,TRAIN_MAX,TRAIN_MEAN,TRAIN_STD,TRAIN_NULL
0,MEME_PRICE_Q,target,target,float,target,"AVG(MEME_PRICE) GROUP BY DISTRICT_CODE, YR, Q",EDA_WORK.RICHGO_CLEAN_APT_EMD,1493.2531,10061.4052,3944.0379,1553.4047,0
1,TIME_INDEX,feature,time,int,derived,(YR-2017)*4 + Q,"YR, Q에서 계산",4.0,27.0,15.5,6.9277,0
2,SEASON_SIN,feature,time,float,derived,sin(2pi*Q/4),cyclical 인코딩,-1.0,1.0,0.0,0.7077,0
3,SEASON_COS,feature,time,float,derived,cos(2pi*Q/4),cyclical 인코딩,-1.0,1.0,-0.0,0.7077,0
4,PHASE_BOOM,feature,time,int,onehot,CYCLE_PHASE one-hot,cycle_phase 함수,0.0,1.0,0.5,0.5004,0
5,PHASE_CORRECTION,feature,time,int,onehot,CYCLE_PHASE one-hot,cycle_phase 함수,0.0,1.0,0.2083,0.4064,0
6,PHASE_PRE_BOOM,feature,time,int,onehot,CYCLE_PHASE one-hot,cycle_phase 함수,0.0,1.0,0.2083,0.4064,0
7,MALE_RATIO,feature,demographic,float,numeric,raw,MOIS,0.455,0.5221,0.48,0.0143,0
8,AGE_UNDER20_PCT,feature,demographic,float,numeric,raw,MOIS,0.0791,0.2176,0.1359,0.0417,0
9,AGE_20S_PCT,feature,demographic,float,numeric,raw,MOIS,0.0784,0.2434,0.1348,0.0349,0
10,AGE_30S_PCT,feature,demographic,float,numeric,raw,MOIS,0.1168,0.2894,0.1838,0.0534,0
11,AGE_40S_PCT,feature,demographic,float,numeric,raw,MOIS,0.1188,0.2182,0.1545,0.0232,0
12,FERTILITY_CBRT,feature,demographic,float,cbrt_transform,cbrt(FERTILITY),우편향 보정,0.4247,0.7569,0.5579,0.0743,0
13,EXECUTIVE_PCT,feature,income,float,numeric,raw,SPH,0.0096,0.0782,0.0412,0.0198,0
14,PREMIUM_40PY_RATIO,feature,housing,float,numeric,raw,SPH,0.0012,0.5861,0.2288,0.1669,0
15,MULTI_HOUSING_RATIO,feature,housing,float,numeric,raw,SPH,0.1891,0.5272,0.2873,0.0744,0
16,HIGH_CREDIT_PCT,feature,credit,float,numeric,raw,SPH,0.3639,0.7816,0.6382,0.102,0
17,MORTGAGE_BURDEN,feature,credit,float,numeric,raw,SPH,0.1181,0.1908,0.1502,0.0212,0
18,CREDIT_CARD_INTENSITY,feature,credit,float,numeric,raw,SPH,1974.0,9749.0,5401.6538,1797.1977,0
19,NEW_CREDIT_PCT,feature,credit,float,numeric,raw,SPH,0.0089,0.0212,0.0167,0.0029,0
20,INSTALLMENT_PCT,feature,credit,float,numeric,raw,SPH,0.1398,0.2195,0.1771,0.0166,0
21,SEG_SINGLE_PCT,feature,segment,float,numeric,raw,SPH,0.121,0.4194,0.2498,0.0639,0
22,SEG_NEWLYWED_PCT,feature,segment,float,numeric,raw,SPH,0.0204,0.0573,0.0366,0.0077,0
23,SEG_INFANT_PCT,feature,segment,float,numeric,raw,SPH,0.0669,0.1632,0.0985,0.0211,0
24,SEG_TEEN_PCT,feature,segment,float,numeric,raw,SPH,0.2443,0.3899,0.3199,0.0356,0
25,SEG_ADULT_CHILD_PCT,feature,segment,float,numeric,raw,SPH,0.1142,0.3287,0.1874,0.0494,0
26,SEG_SENIOR_PCT,feature,segment,float,numeric,raw,SPH,0.0572,0.1755,0.1077,0.0278,0
27,RESIDENT_RATIO,feature,mobility,float,numeric,raw,SPH,0.3465,0.753,0.5956,0.0849,0
28,WORKER_RATIO,feature,mobility,float,numeric,raw,SPH,0.0504,0.3238,0.1305,0.0586,0
29,VISITOR_RATIO,feature,mobility,float,numeric,raw,SPH,0.1551,0.372,0.2739,0.0484,0
30,FOOD_PCT,feature,consumption,float,numeric,raw,SPH,0.0169,0.7055,0.2699,0.167,0
31,RUSH_HOUR_RATIO,feature,time_pattern,float,numeric,raw,SPH,0.0832,0.36,0.2143,0.0726,0
32,LUNCH_TIME_RATIO,feature,time_pattern,float,numeric,raw,SPH,0.1077,0.3447,0.2223,0.0545,0
33,SALES_PER_CAPITA_MONTHLY_LN,feature,consumption,float,log_transform,log(SALES_PER_CAPITA_MONTHLY),이상치+우편향 보정,0.9163,7.1501,2.8535,1.3809,0
34,DELINQUENT_AMT_CBRT,feature,credit,float,cbrt_transform,cbrt(DELINQUENT_AMT),극단 우편향 보정,7.3925,22.4136,9.7252,2.7157,0
35,SALES_MONTHLY_AVG_LN,feature,consumption,float,log_transform,log(SALES_MONTHLY_AVG),우편향 보정,8.8356,17.6148,12.5565,1.9949,0
36,TOTAL_POP_LN,feature,demographic,float,log_transform,log(TOTAL_POP),우편향 보정,8.4009,11.5725,9.8168,1.0017,0
37,TOTAL_HOUSEHOLDS_LN,feature,demographic,float,log_transform,log(TOTAL_HOUSEHOLDS),우편향 보정,6.5681,9.634,7.76,0.9153,0
38,AVG_INCOME_LN,feature,income,float,log_transform,log(AVG_INCOME),우편향 보정,10.3143,11.0936,10.7158,0.2106,0
39,AVG_ASSET_LN,feature,income,float,log_transform,log(AVG_ASSET),우편향 보정,12.3675,14.1416,13.3045,0.434,0
40,COFFEE_PCT_LN,feature,consumption,float,log_transform,log(COFFEE_PCT),0-과다 분포,0.0009,0.0947,0.0176,0.0174,0
41,MEDICAL_PCT_LN,feature,consumption,float,log_transform,log(MEDICAL_PCT),0-과다 분포,0.0016,0.3343,0.032,0.0631,0
42,EARLY_MORNING_RATIO_LN,feature,time_pattern,float,log_transform,log(EARLY_MORNING_RATIO),우편향 보정,0.0094,0.1413,0.037,0.029,0
43,AGE_50S_PCT_LN,feature,demographic,float,log_transform,log(AGE_50S_PCT),우편향 보정,0.0926,0.1713,0.1384,0.017,0
44,ECOMMERCE_PCT_LN,feature,consumption,float,log_transform,log(ECOMMERCE_PCT),0-과다 분포,0.0,0.3616,0.0272,0.0741,0
45,HIGH_INCOME_PCT_LN,feature,income,float,log_transform,log(HIGH_INCOME_PCT),우편향 보정,0.0184,0.2029,0.1143,0.053,0
46,CASH_ADVANCE_PCT_LN,feature,credit,float,log_transform,log(CASH_ADVANCE_PCT),우편향 보정,0.0283,0.0659,0.0451,0.0109,0
47,AGE_60S_PCT_LN,feature,demographic,float,log_transform,log(AGE_60S_PCT),우편향 보정,0.0818,0.1608,0.1193,0.0213,0
48,AGE_OVER70_PCT_LN,feature,demographic,float,log_transform,log(AGE_OVER70_PCT),우편향 보정,0.0634,0.1601,0.109,0.0263,0
49,SGG_SEOCHO,feature,sgg,int,onehot,SGG one-hot,DONG_INTEGRATED_PROCESSED.SGG,0.0,1.0,0.3077,0.4619,0
50,SGG_YEONGDEUNGPO,feature,sgg,int,onehot,SGG one-hot,DONG_INTEGRATED_PROCESSED.SGG,0.0,1.0,0.5385,0.4989,0
51,SGG_JUNG,feature,sgg,int,onehot,SGG one-hot,DONG_INTEGRATED_PROCESSED.SGG,0.0,1.0,0.1538,0.3611,0
