VARIABLE,AVG_PEARSON_ABS_R,MAX_PEARSON_ABS_R,AVG_ETA_SQUARED,MAX_ETA_SQUARED,N_STRONG_CORR,SIGNAL_SCORE,IS_TRANSFORMED,LIFE_MATCHER_WEIGHT,LIFE_MATCHER_USE,DECISION_1_APPLIED,DECISION_2_APPLIED,DECISION_3_APPLIED,DECISION_4_TIER,TIER
TOTAL_POP_LN,0.2525,0.7385,0.332,0.5936,9,0.2843,True,1.5,true,ON (원본 TOTAL_POP의 가중치 승계),,,HIGH,HIGH
RESIDENT_RATIO,0.2383,0.866,0.2178,0.587,8,0.2301,False,1.5,true,,,,HIGH,HIGH
HIGH_CREDIT_PCT,0.2973,0.8187,0.1224,0.3837,17,0.2273,False,1.5,true,,,,HIGH,HIGH
AGE_UNDER20_PCT,0.2546,0.6809,0.1712,0.3155,9,0.2212,False,1.5,true,,,,HIGH,HIGH
AVG_ASSET,0.2902,0.9435,0.0953,0.2946,15,0.2122,False,1.5,false,"OFF (원본, 변환=AVG_ASSET_LN 사용)",,,EXCLUDE,EXCLUDE
WORKER_RATIO,0.2115,0.866,0.1847,0.4704,5,0.2008,False,1.5,true,,,,HIGH,HIGH
AVG_ASSET_LN,0.2662,0.9435,0.0781,0.2464,9,0.1909,True,1.5,true,ON (원본 AVG_ASSET의 가중치 승계),,,HIGH,HIGH
CREDIT_CARD_INTENSITY,0.2785,0.9061,0.0542,0.1529,10,0.1888,False,1,true,,,,HIGH,MEDIUM
TOTAL_POP,0.2278,0.6394,0.128,0.3971,7,0.1879,False,1.5,false,"OFF (원본, 변환=TOTAL_POP_LN 사용)",,,EXCLUDE,EXCLUDE
SALES_PER_CAPITA_MONTHLY_LN,0.2212,0.6398,0.1293,0.3337,5,0.1845,True,0.5,true,ON (원본 SALES_PER_CAPITA_MONTHLY의 가중치 승계),,,LOW,LOW
VISITOR_RATIO,0.2122,0.8223,0.1415,0.3656,4,0.1839,False,1.5,true,,,,HIGH,HIGH
EXECUTIVE_PCT,0.2537,0.8261,0.078,0.2003,8,0.1834,False,1.5,true,,,,HIGH,HIGH
AVG_INCOME_LN,0.2629,0.9733,0.0456,0.1136,10,0.176,True,1,true,ON (원본 AVG_INCOME의 가중치 승계),,,MEDIUM,MEDIUM
MEME_MOM_AVG,0.2452,0.9113,0.0666,0.3658,12,0.1738,False,1.5,false,"OFF (원본, 변환=MEME_MOM_AVG_CBRT 사용)",,,EXCLUDE,EXCLUDE
MEME_PRICE,0.228,0.9863,0.0737,0.5376,12,0.1663,False,1,false,"OFF (원본, 변환=MEME_PRICE_LN 사용)",,,EXCLUDE,EXCLUDE
AGE_40S_PCT,0.1685,0.6208,0.1593,0.4432,2,0.1648,False,1,true,,,,MEDIUM,MEDIUM
AVG_INCOME,0.2463,0.9733,0.0399,0.1016,10,0.1637,False,1,false,"OFF (원본, 변환=AVG_INCOME_LN 사용)",,,EXCLUDE,EXCLUDE
MEME_YOY_AVG,0.2285,0.9607,0.0579,0.2852,10,0.1603,False,1,false,"OFF (원본, 변환=MEME_YOY_AVG_LN 사용)",,,EXCLUDE,EXCLUDE
MEME_PRICE_LN,0.2196,0.9863,0.0708,0.569,12,0.1601,True,1,true,ON (원본 MEME_PRICE의 가중치 승계),,,MEDIUM,MEDIUM
DELINQUENT_AMT_CBRT,0.1951,0.7548,0.0964,0.204,3,0.1556,True,1,true,ON (원본 DELINQUENT_AMT의 가중치 승계),,,MEDIUM,MEDIUM
PRICE_RATIO,0.2103,0.7474,0.0602,0.3155,8,0.1503,False,1,true,,,,MEDIUM,MEDIUM
AGE_30S_PCT,0.1595,0.702,0.1234,0.2837,2,0.145,False,1,true,,,,MEDIUM,MEDIUM
JEONSE_PRICE,0.1932,0.9878,0.0691,0.5841,9,0.1436,False,1,false,"OFF (원본, 변환=JEONSE_PRICE_LN 사용)",,,EXCLUDE,EXCLUDE
MULTI_HOUSING_RATIO,0.1777,0.61,0.089,0.2625,3,0.1423,False,1,true,,,,MEDIUM,MEDIUM
JEONSE_PRICE_LN,0.1886,0.9878,0.07,0.6344,8,0.1411,True,1,true,ON (원본 JEONSE_PRICE의 가중치 승계),,,MEDIUM,MEDIUM
SALES_MONTHLY_AVG_LN,0.181,0.5985,0.0757,0.347,1,0.1389,True,1,true,ON (원본 SALES_MONTHLY_AVG의 가중치 승계),,,MEDIUM,MEDIUM
HIGH_INCOME_PCT_LN,0.2106,0.9938,0.0306,0.0864,10,0.1386,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
FERTILITY_CBRT,0.1803,0.579,0.0639,0.1704,2,0.1338,True,0,false,,,,EXCLUDE,EXCLUDE
MEME_YOY_AVG_LN,0.1958,0.9607,0.0348,0.2076,7,0.1314,True,1,true,ON (원본 MEME_YOY_AVG의 가중치 승계),,,MEDIUM,MEDIUM
AGE_20S_PCT,0.1471,0.702,0.1063,0.3259,1,0.1308,False,1,true,,,,MEDIUM,MEDIUM
HIGH_INCOME_PCT,0.1981,0.9938,0.0296,0.1048,8,0.1307,False,1,true,,,,MEDIUM,MEDIUM
NEW_CREDIT_PCT,0.1815,0.7173,0.034,0.1476,6,0.1225,False,1,true,,,,MEDIUM,MEDIUM
SEG_SINGLE_PCT,0.1742,0.7267,0.0439,0.1263,3,0.1221,False,1,true,,,,MEDIUM,MEDIUM
MALE_RATIO,0.1525,0.6398,0.0609,0.4534,1,0.1159,False,1,true,,,,MEDIUM,MEDIUM
TOTAL_HOUSEHOLDS_LN,0.1581,0.8632,0.0475,0.1706,1,0.1139,True,1,true,ON (원본 TOTAL_HOUSEHOLDS의 가중치 승계),,,MEDIUM,MEDIUM
MEME_MOM_AVG_CBRT,0.1722,0.788,0.0165,0.1341,9,0.1099,True,1.5,true,ON (원본 MEME_MOM_AVG의 가중치 승계),,,HIGH,HIGH
SEG_TEEN_PCT,0.1523,0.6859,0.0397,0.0792,1,0.1073,False,1,true,,,,MEDIUM,MEDIUM
AGE_OVER70_PCT_LN,0.1484,0.9926,0.0454,0.0873,1,0.1072,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
MEME_DECLINE_PCT,0.1693,0.7146,0.0097,0.0655,9,0.1055,False,1,true,,,,MEDIUM,MEDIUM
AGE_OVER70_PCT,0.1393,0.9926,0.0489,0.1002,1,0.1032,False,1,true,,,,MEDIUM,MEDIUM
DELINQUENT_AMT,0.1404,0.7548,0.0365,0.0642,1,0.0988,False,1,false,"OFF (원본, 변환=DELINQUENT_AMT_CBRT 사용)",,,EXCLUDE,EXCLUDE
SEG_INFANT_PCT,0.1424,0.4555,0.0309,0.0398,0,0.0978,False,1,true,,,,MEDIUM,MEDIUM
PRICE_VOLATILITY,0.1294,0.9985,0.0502,0.288,1,0.0977,False,1,false,"OFF (원본, 변환=PRICE_VOLATILITY_LN 사용)",,,EXCLUDE,EXCLUDE
AGE_60S_PCT_LN,0.1454,0.9914,0.0263,0.1122,1,0.0977,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
AGE_60S_PCT,0.1439,0.9914,0.0249,0.0841,1,0.0963,False,1,true,,,,MEDIUM,MEDIUM
TOTAL_HOUSEHOLDS,0.1504,0.8632,0.0141,0.136,7,0.0959,False,1,false,"OFF (원본, 변환=TOTAL_HOUSEHOLDS_LN 사용)",,,EXCLUDE,EXCLUDE
PRICE_VOLATILITY_LN,0.1282,0.9985,0.0469,0.2844,1,0.0957,True,1,true,ON (원본 PRICE_VOLATILITY의 가중치 승계),,,MEDIUM,MEDIUM
MORTGAGE_BURDEN,0.1509,0.5809,0.0071,0.0178,5,0.0934,False,1,true,,,,MEDIUM,MEDIUM
SEG_ADULT_CHILD_PCT,0.1377,0.7267,0.0265,0.0423,3,0.0932,False,1,true,,,,MEDIUM,MEDIUM
SEG_NEWLYWED_PCT,0.1229,0.5364,0.0418,0.0961,1,0.0905,False,1,true,,,,MEDIUM,MEDIUM
