FEATURE_NAME,TRAIN_MIN,TRAIN_MAX,TRAIN_MEAN,TRAIN_STD
TIME_INDEX,4.0,27.0,15.5,6.9277
SEASON_SIN,-1.0,1.0,0.0,0.7077
SEASON_COS,-1.0,1.0,-0.0,0.7077
PHASE_BOOM,0.0,1.0,0.5,0.5004
PHASE_CORRECTION,0.0,1.0,0.2083,0.4064
PHASE_PRE_BOOM,0.0,1.0,0.2083,0.4064
MALE_RATIO,0.455,0.5221,0.48,0.0143
AGE_UNDER20_PCT,0.0791,0.2176,0.1359,0.0417
AGE_20S_PCT,0.0784,0.2434,0.1348,0.0349
AGE_30S_PCT,0.1168,0.2894,0.1838,0.0534
AGE_40S_PCT,0.1188,0.2182,0.1545,0.0232
FERTILITY_CBRT,0.4247,0.7569,0.5579,0.0743
EXECUTIVE_PCT,0.0096,0.0782,0.0412,0.0198
PREMIUM_40PY_RATIO,0.0012,0.5861,0.2288,0.1669
MULTI_HOUSING_RATIO,0.1891,0.5272,0.2873,0.0744
HIGH_CREDIT_PCT,0.3639,0.7816,0.6382,0.102
MORTGAGE_BURDEN,0.1181,0.1908,0.1502,0.0212
CREDIT_CARD_INTENSITY,1974.0,9749.0,5401.6538,1797.1977
NEW_CREDIT_PCT,0.0089,0.0212,0.0167,0.0029
INSTALLMENT_PCT,0.1398,0.2195,0.1771,0.0166
SEG_SINGLE_PCT,0.121,0.4194,0.2498,0.0639
SEG_NEWLYWED_PCT,0.0204,0.0573,0.0366,0.0077
SEG_INFANT_PCT,0.0669,0.1632,0.0985,0.0211
SEG_TEEN_PCT,0.2443,0.3899,0.3199,0.0356
SEG_ADULT_CHILD_PCT,0.1142,0.3287,0.1874,0.0494
SEG_SENIOR_PCT,0.0572,0.1755,0.1077,0.0278
RESIDENT_RATIO,0.3465,0.753,0.5956,0.0849
WORKER_RATIO,0.0504,0.3238,0.1305,0.0586
VISITOR_RATIO,0.1551,0.372,0.2739,0.0484
FOOD_PCT,0.0169,0.7055,0.2699,0.167
RUSH_HOUR_RATIO,0.0832,0.36,0.2143,0.0726
LUNCH_TIME_RATIO,0.1077,0.3447,0.2223,0.0545
SALES_PER_CAPITA_MONTHLY_LN,0.9163,7.1501,2.8535,1.3809
DELINQUENT_AMT_CBRT,7.3925,22.4136,9.7252,2.7157
SALES_MONTHLY_AVG_LN,8.8356,17.6148,12.5565,1.9949
TOTAL_POP_LN,8.4009,11.5725,9.8168,1.0017
TOTAL_HOUSEHOLDS_LN,6.5681,9.634,7.76,0.9153
AVG_INCOME_LN,10.3143,11.0936,10.7158,0.2106
AVG_ASSET_LN,12.3675,14.1416,13.3045,0.434
COFFEE_PCT_LN,0.0009,0.0947,0.0176,0.0174
MEDICAL_PCT_LN,0.0016,0.3343,0.032,0.0631
EARLY_MORNING_RATIO_LN,0.0094,0.1413,0.037,0.029
AGE_50S_PCT_LN,0.0926,0.1713,0.1384,0.017
ECOMMERCE_PCT_LN,0.0,0.3616,0.0272,0.0741
HIGH_INCOME_PCT_LN,0.0184,0.2029,0.1143,0.053
CASH_ADVANCE_PCT_LN,0.0283,0.0659,0.0451,0.0109
AGE_60S_PCT_LN,0.0818,0.1608,0.1193,0.0213
AGE_OVER70_PCT_LN,0.0634,0.1601,0.109,0.0263
SGG_SEOCHO,0.0,1.0,0.3077,0.4619
SGG_YEONGDEUNGPO,0.0,1.0,0.5385,0.4989
SGG_JUNG,0.0,1.0,0.1538,0.3611
