DISTRICT_CODE,DISTRICT_KOR_NAME,SGG,CITY_CODE,MEME_PRICE,JEONSE_PRICE,PRICE_RATIO,MEME_MOM_AVG,MEME_YOY_AVG,PRICE_VOLATILITY,MEME_DECLINE_PCT,TOTAL_HOUSEHOLDS,TOTAL_POP,MALE_RATIO,AGE_UNDER20_PCT,AGE_20S_PCT,AGE_30S_PCT,AGE_40S_PCT,AGE_50S_PCT,AGE_60S_PCT,AGE_OVER70_PCT,FERTILITY_CBRT,FERTILITY_IMPUTED,AVG_INCOME,AVG_ASSET,HIGH_INCOME_PCT,EXECUTIVE_PCT,PREMIUM_40PY_RATIO,MULTI_HOUSING_RATIO,DELINQUENT_AMT,SAMPLE_SIZE,HIGH_CREDIT_PCT,MORTGAGE_BURDEN,CREDIT_CARD_INTENSITY,CASH_ADVANCE_PCT,NEW_CREDIT_PCT,INSTALLMENT_PCT,SEG_SINGLE_PCT,SEG_NEWLYWED_PCT,SEG_INFANT_PCT,SEG_TEEN_PCT,SEG_ADULT_CHILD_PCT,SEG_SENIOR_PCT,RESIDENT_RATIO,WORKER_RATIO,VISITOR_RATIO,FOOD_PCT,COFFEE_PCT,MEDICAL_PCT,ECOMMERCE_PCT,SALES_MONTHLY_AVG,SALES_PER_CAPITA_MONTHLY,EARLY_MORNING_RATIO,RUSH_HOUR_RATIO,LUNCH_TIME_RATIO,HAS_RICHGO_APT,RICHGO_IMPUTED,SPH_LOW_QUALITY,IS_GHOST_ECONOMY,UPDATED_AT,SALES_PER_CAPITA_MONTHLY_LN,DELINQUENT_AMT_CBRT,SALES_MONTHLY_AVG_LN,JEONSE_PRICE_LN,MEME_PRICE_LN,MEME_MOM_AVG_CBRT,TOTAL_POP_LN,TOTAL_HOUSEHOLDS_LN,MEME_YOY_AVG_LN,AVG_INCOME_LN,PRICE_VOLATILITY_LN,AVG_ASSET_LN,COFFEE_PCT_LN,MEDICAL_PCT_LN,EARLY_MORNING_RATIO_LN,AGE_50S_PCT_LN,ECOMMERCE_PCT_LN,HAS_ECOMMERCE,HIGH_INCOME_PCT_LN,CASH_ADVANCE_PCT_LN,AGE_60S_PCT_LN,AGE_OVER70_PCT_LN,LOW_RESIDENT_FLAG,AGE_DATA_RELIABLE,WORKER_DOMINANT
11140101,무교동,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,8,0.625,0,0,0,0,0.375,0.25,0.375,0.3337584633,true,29413,329860,0.038,0.0126,0.2381,1,394,32965,0.0762,0.1203,1021,0.0383,0.0023,0.2644,0.3467,0.0472,0.0899,0.3236,0.1421,0.0505,0.1771,0.3855,0.4374,0.7687,0.015,0.006,0,178841,22355.1,0.0058,0.089,0.11,false,true,false,true,2026-04-25 08:14:40.931 -0700,10.014854493,7.331022326,12.094252422,7.675563504,8.292909504,0.4573040151,2.197224577,8.227509116,1.320172365,10.289192032,0.7301892841,12.706423601,0.01488861249,0.005982071678,0.005783244756,0.3184537311,0,false,0.03729578474,0.03758476033,0.2231435513,0.3184537311,true,true,false
11140102,다동,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,45,0.6444,0,0.1778,0.0889,0.0889,0.1778,0.2444,0.2222,0,false,34352,357392,0.0713,0.0171,0.1964,1,594,12010,0.2039,0.1003,1681,0.0631,0.007,0.1515,0.426,0.0372,0.0868,0.2698,0.1301,0.0501,0.1617,0.4279,0.4104,0.4954,0.0203,0.0014,0.0198,504406,11209,0.037,0.1444,0.1326,false,true,false,true,2026-04-25 08:14:40.931 -0700,9.324561516,8.406100096,13.131136778,7.675563504,8.292909504,0.4573040151,3.828641396,8.227509116,1.320172365,10.44441552,0.7301892841,12.786588498,0.0200967017,0.001399020914,0.03633192925,0.1636482915,0.01960652964,true,0.06887286429,0.06118916831,0.218653486,0.2006525135,false,true,true
11140103,태평로1가,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,4,0.5,0,0,0,0,0.25,0.5,0.25,0.3337584633,true,36126,357364,0.0964,0.024,0.0962,1,547,4940,0.1664,0.1226,2365,0.1722,0.0215,0.1428,0.1104,0.0326,0.0755,0.4634,0.235,0.0831,0.2113,0.3411,0.4476,0.1771,0.0105,0.0005,0.0003,1093664,273416,0.013,0.2082,0.3692,false,true,false,true,2026-04-25 08:14:40.931 -0700,12.518753381,8.178271602,13.905044085,7.675563504,8.292909504,0.4573040151,1.609437912,8.227509116,1.320172365,10.494768107,0.7301892841,12.786510149,0.01044525786,0.0004998750417,0.01291622527,0.2231435513,0.000299955009,true,0.09203208545,0.1588823251,0.4054651081,0.2231435513,true,true,false
11140104,을지로1가,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,1,1,0,0,0,0,1,0,0,0.3337584633,true,29044,355697,0.0472,0.0068,0.2188,0.9399,41,28383,0.1001,0.0917,969,0.057,0.0036,0.128,0.3469,0.053,0.0896,0.329,0.1359,0.0456,0.1812,0.3617,0.4571,0.2624,0.0119,0.0028,0,165588,165588.3,0.0465,0.2554,0.2367,false,true,false,true,2026-04-25 08:14:40.931 -0700,12.017265905,3.448212972,12.017258055,7.675563504,8.292909504,0.4573040151,0.6931471806,8.227509116,1.320172365,10.276567201,0.7301892841,12.781834524,0.01182975175,0.002796087302,0.0454512629,0.6931471806,0,false,0.04611993561,0.05543470689,0,0,true,true,false
11140105,을지로2가,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,45,0.7556,0,0.2222,0.1111,0.1111,0.2,0.2667,0.0889,0,false,34892,379976,0.0978,0.0236,0.2021,1,603,78305,0.1894,0.1106,2119,0.0483,0.0029,0.1743,0.1403,0.0302,0.1216,0.4138,0.2138,0.0805,0.1758,0.4444,0.3798,0.0083,0.0013,0.0001,0.0016,16297489,362166.4,0.0749,0.2344,0.3116,false,true,false,true,2026-04-25 08:14:40.931 -0700,12.799861815,8.448342472,16.606521605,7.675563504,8.292909504,0.4573040151,3.828641396,8.227509116,1.320172365,10.460012856,0.7301892841,12.847863372,0.001299155732,9.999500033e-05,0.072227634,0.1823215568,0.001598721364,true,0.09330817713,0.04716980448,0.2364150935,0.08516801237,false,true,true
11140106,남대문로1가,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,0,0,0,0,0,0,0,0,0,0.3337584633,true,37810,298210,0,0,0.2501716418,0,0,12,0.25,0.3461,2517,0,0,0.0132,0.4835,0.0683,0.0944,0.2584,0.0749,0.0206,0.1203,0.4472,0.4325,0.7998,0.1379,0,0,16564,0,0.0281,0.1537,0.0679,false,true,true,true,2026-04-25 08:14:40.931 -0700,0,0,9.714986945,7.675563504,8.292909504,0.4573040151,0,8.227509116,1.320172365,10.540328897,0.7301892841,12.605553215,0.1291844584,0,0.02771243857,0,0,false,0,0,0,0,true,false,true
11140107,삼각동,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,5,0.6,0,0,0,0,0,0.4,0.6,0.3337584633,true,28945,354856,0.079,0,0,0.0667,270,1124,0.1522,0.0898,1273,0.0592,0.0062,0.0656,0.2918,0.0522,0.1246,0.3603,0.1357,0.0355,0.1867,0.3813,0.432,0.4912,0.2069,0.0196,0,19448,3889.6,0.042,0.2293,0.1001,false,true,false,true,2026-04-25 08:14:40.931 -0700,8.266318666,6.463292009,9.875499516,7.675563504,8.292909504,0.4573040151,1.791759469,8.227509116,1.320172365,10.273152757,0.7301892841,12.779467352,0.1880550886,0.01941039352,0.04114194333,0,0,false,0.07603468628,0.0575139062,0.3364722366,0.4700036292,true,true,false
11140108,수하동,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,0,0,0,0,0,0,0,0,0,0.3337584633,true,74817,450739,0.3423,0.0498,0.18,1,75,3943,0.4803,0.2396,5852,0.0499,0.0216,0.1796,0.364,0.0558,0.1102,0.3318,0.105,0.0332,0.1045,0.5444,0.3511,0.8095,0.1,0.0051,0,134830,0,0.0146,0.115,0.0703,false,true,false,true,2026-04-25 08:14:40.931 -0700,0,4.217157257,11.811770005,7.675563504,8.292909504,0.4573040151,0,8.227509116,1.320172365,11.222800411,0.7301892841,13.018643737,0.0953101798,0.005087039049,0.01449444615,0,0,false,0.2943845605,0.04869492154,0,0,true,false,true
11140109,장교동,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,2,0.5,0,0,0,0,0.5,0,0.5,0.3337584633,true,50277,531742,0.1838,0.0448,0.1818,1,94,3252,0.4514,0.1679,5593,0.1598,0.0191,0.2445,0.2646,0.0467,0.1485,0.2975,0.1602,0.0825,0.1489,0.4839,0.3672,0.1103,0.0274,0.0037,0,41238,20619.2,0.0172,0.3359,0.2381,false,true,false,true,2026-04-25 08:14:40.931 -0700,9.934026457,4.546829058,10.62711544,7.675563504,8.292909504,0.4573040151,1.098612289,8.227509116,1.320172365,10.825302995,0.7301892841,13.183913688,0.02703133905,0.003693171838,0.01705375457,0.4054651081,0,false,0.1687296033,0.1482475765,0,0.4054651081,true,true,true
11140110,수표동,중구,11140,3995.442053973,2155.037715778,0.5510194224,0.095634375,3.744066667,2.075473425,0.3958333333,3742.5,1,1,0,0,0,0,0,0,1,0.3337584633,true,53492,395705,0.2124,0.0133,0.0286,1,272,2015,0.569,0.3172,6197,0.0232,0.0164,0.1494,0.359,0.0528,0.0952,0.2793,0.1394,0.0743,0.1946,0.3339,0.4715,0.4266,0.0319,0.0341,0,72992,72991.8,0.0259,0.1529,0.2054,false,true,false,true,2026-04-25 08:14:40.931 -0700,11.198116085,6.479211495,11.198105125,7.675563504,8.292909504,0.4573040151,0.6931471806,8.227509116,1.320172365,10.887287389,0.7301892841,12.888424263,0.03140176314,0.03353148321,0.02557027611,0,0,false,0.1926018662,0.02293497128,0,0.6931471806,true,true,false
